title,author,average_rating,language_code,num-pages,ratings_count,text_reviews_count,publisher,genres,years,author_birthplace,author_birthdate,author_gender
The Wolf's Hour,Robert_R._Mc._Cammon,4.06,eng,603,8741,326,Pocket Books,Horror,1990,Error: Unable to fetch Wikipedia page,Error: Unable to fetch Wikipedia page,male
Boy's Life,Robert_R._Mc._Cammon,4.35,eng,580,17540,1740,Pocket Books,Horror,1992,Error: Unable to fetch Wikipedia page,Error: Unable to fetch Wikipedia page,male
Swan Song,Robert_R._Mc._Cammon,4.28,eng,956,46244,2540,Pocket Books,Horror,1987,Error: Unable to fetch Wikipedia page,Error: Unable to fetch Wikipedia page,male
The Green Mile,Stephen_King,4.44,eng,592,207869,4570,Penguin Signet,Horror,1996,"Portland, Maine, U.S.",1947,male
The Shining,Stephen_King,4.22,eng,659,978535,15105,New English Library (Hodder & Stoughton),Horror,1980,"Portland, Maine, U.S.",1947,male
Stand by Me,Raynold_Gideon,4.32,eng,96,1436,24,Columbia Pictures Pubns,Horror,1986,Error: Unable to fetch Wikipedia page,Error: Unable to fetch Wikipedia page,unknown
The Witching Hour (Lives of the Mayfair Witches  #1),Anne_Rice,4.11,eng,1207,87816,2577,Arrow,Horror,2004,"New Orleans, Louisiana, U.S.",1941,female
Tamsin,Peter_S._Beagle,4.02,eng,288,3033,241,Firebird,Horror,1999,"New York City, US",1939,male
The Shining,Stephen_King,4.22,eng,505,1316,134,Gallery Books,Horror,2002,"Portland, Maine, U.S.",1947,male
A Kiss Before Dying,Ira_Levin,3.94,eng,242,6548,556,Carroll & Graf Publishers,Horror,2003,"New York City, New York, U.S.",1929,female
Falling Angel,William_Hjortsberg,3.92,eng,302,2243,220,Millipede Press,Horror,2006,"New York City, New York, United States",1941,male
Rebecca,Daphne_du_Maurier,4.23,en-US,441,179639,8119,Virago Press (UK),Horror,2007,"London, England",1907,female
The Talisman,Stephen_King,4.13,eng,646,1259,131,Viking; G. P. Putnam & Sons,Horror,1984,"Portland, Maine, U.S.",1947,male
Geek Love,Katherine_Dunn,3.97,eng,348,50103,5030,Random House Vintage,Horror,2002,"Garden City, Kansas, U.S.",1945,female
Children of the Night (Diana Tregarde  #2),Mercedes_Lackey,3.94,en-US,320,4349,103,St. Martins Press-3PL,Horror,2005,"]Chicago, Illinois, U.S.",1950,female
I Am Legend,Richard_Matheson,4.07,eng,160,55751,3104,Millenium,Horror,1999,"Allendale, New Jersey, U.S.",1926,male
Neverwhere (London Below  #1),Neil_Gaiman,4.17,eng,370,345122,15199,William Morrow Paperbacks,Horror,2003,"Portchester, England",1960,male
Odd Thomas (Odd Thomas  #1),Dean_Koontz,3.97,eng,446,227884,6253,Bantam,Horror,2006,"Everett, Pennsylvania, U.S.",1945,male
Brother Odd (Odd Thomas  #3),Dean_Koontz,3.98,eng,364,54120,2053,Bantam,Horror,2006,"Everett, Pennsylvania, U.S.",1945,male
The Laughing Corpse (Anita Blake  Vampire Hunter  #2),Laurell_K._Hamilton,4.12,en-US,301,67686,1409,Berkley,Horror,2005,"Heber Springs, Arkansas, U.S.",1963,unknown
Strangers,Dean_Koontz,4.0,eng,704,38693,590,Berkley,Horror,2002,"Everett, Pennsylvania, U.S.",1945,male
One Door Away from Heaven,Dean_Koontz,3.97,eng,681,17959,555,Bantam,Horror,2002,"Everett, Pennsylvania, U.S.",1945,male
City of Night (Dean Koontz's Frankenstein  #2),Dean_Koontz,3.98,en-US,455,1060,116,Bantam Books,Horror,2005,"Everett, Pennsylvania, U.S.",1945,male
Forever Odd (Odd Thomas  #2),Dean_Koontz,3.97,eng,364,61555,2263,Bantam Books,Horror,2006,"Everett, Pennsylvania, U.S.",1945,male
Life Expectancy,Dean_Koontz,4.01,eng,476,26983,1568,Bantam Books,Horror,2005,"Everett, Pennsylvania, U.S.",1945,male
Coraline,Neil_Gaiman,4.06,eng,162,403622,13096,William Morrow Paperbacks,Horror,2006,"Portchester, England",1960,male
Dracula,Bram_Stoker,3.99,eng,528,9871,431,Pocket Books,Horror,2003,"Clontarf, Dublin, Ireland",1847,male
Dracula,Bram_Stoker,3.99,eng,488,774987,14944,Norton,Horror,1986,"Clontarf, Dublin, Ireland",1847,male
The Gunslinger (The Dark Tower #1),Stephen_King,3.96,eng,315,1902,227,Signet,Horror,1989,"Portland, Maine, U.S.",1947,male
The Waste Lands (The Dark Tower #3),Stephen_King,4.24,eng,590,1013,96,Signet Book,Horror,1993,"Portland, Maine, U.S.",1947,male
